Country,Cost of Living Index_x,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Rank,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index_y,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Year
Russia,31.0,10.0,20.9,28.8,28.0,50.6,65,111.2,50.6,61.1,61.1,31.0,16.0,43.3,59.3,48.9,2024/2
Brazil,30.2,7.9,19.5,29.5,22.6,37.2,62,113.5,37.2,34.9,59.0,30.2,16.3,40.7,52.5,96.9,2024/2
Kenya,30.2,8.5,19.8,31.0,22.1,34.2,68,106.4,34.2,44.1,61.5,30.2,12.8,50.6,69.0,99.8,2024/2
Malaysia,30.0,7.7,19.3,36.3,18.9,79.9,47,133.5,79.9,50.6,70.2,30.0,8.2,37.0,61.4,56.6,2024/2
Peru,30.0,9.6,20.2,31.5,21.3,34.8,79,84.6,34.8,32.7,56.3,30.0,18.3,48.9,82.5,97.7,2024/2
Morocco,29.5,7.4,18.9,29.8,20.7,38.6,64,111.9,38.6,52.4,46.5,29.5,14.6,35.3,68.7,98.1,2024/2
Argentina,29.4,7.6,18.9,29.7,24.8,41.5,60,116.1,41.5,36.2,68.1,29.4,19.6,44.2,50.9,98.3,2024/2
Colombia,28.8,8.6,19.1,30.3,20.5,33.7,67,106.5,33.7,39.0,68.2,28.8,18.4,47.2,62.6,98.4,2024/2
Vietnam,28.7,9.0,19.2,33.9,14.8,40.5,75,97.2,40.5,58.2,61.4,28.7,22.6,29.6,84.2,71.2,2024/2
Indonesia,26.7,7.7,17.6,33.4,13.5,31.7,73,98.6,31.7,54.0,60.8,26.7,17.3,43.2,67.6,63.8,2024/2
Iran,26.4,8.5,17.8,22.0,16.3,26.0,80,80.4,26.0,49.7,52.5,26.4,23.4,46.4,75.3,71.0,2024/2
Belarus,26.4,8.3,17.7,25.4,24.9,51.8,52,125.0,51.8,49.4,48.2,26.4,12.8,31.2,45.2,64.4,2024/2
Ukraine,25.9,7.6,17.1,25.4,20.7,39.5,66,110.7,39.5,53.2,55.6,25.9,15.3,37.9,62.1,72.9,2024/2
Bangladesh,22.5,2.4,12.8,25.7,12.8,33.1,82,72.6,33.1,38.4,42.2,22.5,12.3,57.6,85.6,71.3,2024/2
India,21.2,5.6,13.7,23.8,15.1,82.6,53,123.8,82.6,55.7,65.4,21.2,11.1,46.5,72.8,65.7,2024/2
Egypt,21.0,3.7,12.7,21.2,16.2,20.0,78,86.0,20.0,52.7,47.5,21.0,15.5,48.1,82.7,88.5,2024/2
Pakistan,18.8,2.8,11.1,17.5,12.9,29.1,69,104.5,29.1,56.6,59.1,18.8,13.3,38.2,73.2,71.9,2024/2
